Periodicity;Year;Month;Quarter;Transactions / Sales;Sector;Value in different units;Date_Object;Date;Name
Monthly;2019;MAY;;Construction & Building Materials;Sales;914062.8424;2019-05-01;MAY 2019;Construction & Building Materials :  Sales
Monthly;2019;JUN;;Construction & Building Materials;Sales;872064.183999988;2019-06-01;JUN 2019;Construction & Building Materials :  Sales
Monthly;2019;JUL;;Construction & Building Materials;Sales;1157338.26128998;2019-07-01;JUL 2019;Construction & Building Materials :  Sales
Monthly;2019;SEP;;Jewelry;Number of Transactions;576.731;2019-09-01;SEP 2019;Jewelry :  Number of Transactions
Monthly;2019;OCT;;Jewelry;Number of Transactions;624.591;2019-10-01;OCT 2019;Jewelry :  Number of Transactions
Monthly;2019;APR;;Telecommunication;Number of Transactions;464.39;2019-04-01;APR 2019;Telecommunication :  Number of Transactions
Monthly;2019;JUN;;Telecommunication;Number of Transactions;452.041;2019-06-01;JUN 2019;Telecommunication :  Number of Transactions
Monthly;2019;AUG;;Telecommunication;Number of Transactions;516.372;2019-08-01;AUG 2019;Telecommunication :  Number of Transactions
Monthly;2019;OCT;;Telecommunication;Number of Transactions;624.567;2019-10-01;OCT 2019;Telecommunication :  Number of Transactions
Monthly;2019;FEB;;Education;Number of Transactions;170.575;2019-02-01;FEB 2019;Education :  Number of Transactions
Monthly;2019;OCT;;Education;Number of Transactions;255.97;2019-10-01;OCT 2019;Education :  Number of Transactions
Monthly;2019;NOV;;Education;Number of Transactions;234.011;2019-11-01;NOV 2019;Education :  Number of Transactions
Monthly;2019;JAN;;Education;Sales;1040591.10809;2019-01-01;JAN 2019;Education :  Sales
Monthly;2019;JUN;;Education;Sales;158873.2729;2019-06-01;JUN 2019;Education :  Sales
